Time (s),X (m),Y (m),Velocity (m/s),Acceleration (g),Mass (kg),Thrust (N),Drag (custom),Comment
0.6,0,61.6433013675,104.360733472,-0.668055509379,1.4968536,0.0,-9.80981649623,
0.61,0,62.6862533397,104.295197225,-0.668055525059,1.4968536,0.0,-9.80981672649,
0.62,0,63.7285499495,104.229660978,-0.66805554073,1.4968536,0.0,-9.8098169566,
0.63,0,64.7701911968,104.164124728,-0.668055556391,1.4968536,0.0,-9.80981718657,
0.64,0,65.8111770816,104.098588478,-0.668055572042,1.4968536,0.0,-9.80981741639,
0.65,0,66.8515076038,104.033052225,-0.668055587683,1.4968536,0.0,-9.80981764607,
0.66,0,67.8911827635,103.967515971,-0.668055603314,1.4968536,0.0,-9.8098178756,
0.67,0,68.9302025607,103.901979716,-0.668055618936,1.4968536,0.0,-9.80981810499,
0.68,0,69.9685669953,103.836443459,-0.668055634548,1.4968536,0.0,-9.80981833423,
0.69,0,71.0062760673,103.7709072,-0.66805565015,1.4968536,0.0,-9.80981856333,
0.7,0,72.0433297767,103.70537094,-0.668055665742,1.4968536,0.0,-9.80981879229,
0.71,0,73.0797281235,103.639834679,-0.668055681324,1.4968536,0.0,-9.8098190211,
0.72,0,74.1154711076,103.574298416,-0.668055696896,1.4968536,0.0,-9.80981924976,
0.73,0,75.1505587291,103.508762151,-0.668055712458,1.4968536,0.0,-9.80981947828,
0.74,0,76.184990988,103.443225885,-0.668055728011,1.4968536,0.0,-9.80981970666,
0.75,0,77.2187678841,103.377689617,-0.668055743554,1.4968536,0.0,-9.80981993489,
0.76,0,78.2518894176,103.312153348,-0.668055759087,1.4968536,0.0,-9.80982016298,
0.77,0,79.2843555884,103.246617077,-0.66805577461,1.4968536,0.0,-9.80982039092,
0.78,0,80.3161663964,103.181080805,-0.668055790123,1.4968536,0.0,-9.80982061872,
0.79,0,81.3473218418,103.115544531,-0.668055805626,1.4968536,0.0,-9.80982084637,
0.8,0,82.3778219243,103.050008256,-0.66805582112,1.4968536,0.0,-9.80982107388,
0.81,0,83.4076666441,102.984471979,-0.668055836604,1.4968536,0.0,-9.80982130125,
0.82,0,84.4368560011,102.918935701,-0.668055852078,1.4968536,0.0,-9.80982152847,
0.83,0,85.4653899953,102.853399421,-0.668055867542,1.4968536,0.0,-9.80982175554,
0.84,0,86.4932686267,102.787863139,-0.668055882996,1.4968536,0.0,-9.80982198248,
0.85,0,87.5204918953,102.722326857,-0.66805589844,1.4968536,0.0,-9.80982220926,
0.86,0,88.547059801,102.656790572,-0.668055913875,1.4968536,0.0,-9.8098224359,
0.87,0,89.5729723439,102.591254286,-0.668055929299,1.4968536,0.0,-9.8098226624,
0.88,0,90.5982295239,102.525717999,-0.668055944714,1.4968536,0.0,-9.80982288876,
0.89,0,91.622831341,102.46018171,-0.668055960119,1.4968536,0.0,-9.80982311496,
0.9,0,92.6467777952,102.39464542,-0.668055975514,1.4968536,0.0,-9.80982334103,
0.91,0,93.6700688864,102.329109128,-0.668055990899,1.4968536,0.0,-9.80982356695,
0.92,0,94.6927046148,102.263572834,-0.668056006275,1.4968536,0.0,-9.80982379272,
0.93,0,95.7146849802,102.198036539,-0.66805602164,1.4968536,0.0,-9.80982401835,
0.94,0,96.7360099826,102.132500243,-0.668056036996,1.4968536,0.0,-9.80982424384,
0.95,0,97.756679622,102.066963945,-0.668056052342,1.4968536,0.0,-9.80982446918,
0.96,0,98.7766938985,102.001427645,-0.668056067678,1.4968536,0.0,-9.80982469438,
0.97,0,99.7960528119,101.935891344,-0.668056083004,1.4968536,0.0,-9.80982491943,
0.98,0,100.814756362,101.870355042,-0.668056098321,1.4968536,0.0,-9.80982514434,
0.99,0,101.83280455,101.804818738,-0.668056113627,1.4968536,0.0,-9.8098253691,
1.0,0,102.850197374,101.739282432,-0.668056128924,1.4968536,0.0,-9.80982559372,
1.01,0,103.866934835,101.673746125,-0.668056144211,1.4968536,0.0,-9.80982581819,
1.02,0,104.883016933,101.608209817,-0.668056159488,1.4968536,0.0,-9.80982604252,
1.03,0,105.898443669,101.542673507,-0.668056174755,1.4968536,0.0,-9.80982626671,
1.04,0,106.913215041,101.477137197,-0.668056155589,1.4968536,0.0,-9.80982598528,
1.05,0,107.927331049,101.411600887,-0.668056170881,1.4968536,0.0,-9.80982620983,
1.06,0,108.940791695,101.346064576,-0.668056186163,1.4968536,0.0,-9.80982643423,
1.07,0,109.953596978,101.280528264,-0.668056201435,1.4968536,0.0,-9.80982665849,
1.08,0,110.965746897,101.214991949,-0.668056216698,1.4968536,0.0,-9.8098268826,
1.09,0,111.977241454,101.149455634,-0.66805623195,1.4968536,0.0,-9.80982710657,
1.1,0,112.988080647,101.083919317,-0.668056247193,1.4968536,0.0,-9.80982733039,
1.11,0,113.998264477,101.018382998,-0.668056262425,1.4968536,0.0,-9.80982755407,
1.12,0,115.007792944,100.952846678,-0.668056277648,1.4968536,0.0,-9.8098277776,
1.13,0,116.016666047,100.887310356,-0.668056292861,1.4968536,0.0,-9.80982800099,
1.14,0,117.024883787,100.821774033,-0.668056308064,1.4968536,0.0,-9.80982822423,
1.15,0,118.032446165,100.756237709,-0.668056323257,1.4968536,0.0,-9.80982844733,
1.16,0,119.039353178,100.690701383,-0.66805633844,1.4968536,0.0,-9.80982867029,
1.17,0,120.045604829,100.625165055,-0.668056353614,1.4968536,0.0,-9.80982889309,
1.18,0,121.051201116,100.559628726,-0.668056368777,1.4968536,0.0,-9.80982911576,
1.19,0,122.05614204,100.494092396,-0.668056383931,1.4968536,0.0,-9.80982933828,
1.2,0,123.060427601,100.428556064,-0.668056399075,1.4968536,0.0,-9.80982956065,
1.21,0,124.064057798,100.36301973,-0.668056414209,1.4968536,0.0,-9.80982978288,
1.22,0,125.067032632,100.297483395,-0.668056429333,1.4968536,0.0,-9.80983000496,
1.23,0,126.069352103,100.231947059,-0.668056444447,1.4968536,0.0,-9.8098302269,
1.24,0,127.07101621,100.166410721,-0.668056459551,1.4968536,0.0,-9.80983044869,
1.25,0,128.072024954,100.100874381,-0.668056474646,1.4968536,0.0,-9.80983067034,
1.26,0,129.072378334,100.035338041,-0.66805648973,1.4968536,0.0,-9.80983089185,
1.27,0,130.072076351,99.9698016981,-0.668056504805,1.4968536,0.0,-9.80983111321,
1.28,0,131.071119005,99.9042653543,-0.66805651987,1.4968536,0.0,-9.80983133442,
